Timestamp, Humidity %, Temperature(°C), Heat-Index 
[2024-04-16 09:49:15.947],62.7,32.8,39.98
[2024-04-16 09:49:26.023],61.8,32.8,39.65
[2024-04-16 09:49:36.101],61.9,32.8,39.68
[2024-04-16 09:49:46.178],62.1,32.8,39.76
[2024-04-16 09:49:56.255],61.9,32.9,39.95
[2024-04-16 09:50:06.332],61.8,32.9,39.91
[2024-04-16 09:50:16.408],61.7,32.9,39.87
[2024-04-16 09:50:26.486],61.6,32.9,39.84
[2024-04-16 09:50:36.578],61.4,33,40.03
[2024-04-16 09:50:46.640],61.3,33,39.99
[2024-04-16 09:50:56.732],61.5,33,40.06
[2024-04-16 09:51:06.794],61.8,33,40.18
[2024-04-16 09:51:16.887],61.9,33.1,40.48
[2024-04-16 09:51:26.963],61.7,33.1,40.4
[2024-04-16 09:51:37.040],61.6,33.2,40.63
[2024-04-16 09:51:47.117],61.3,33.1,40.25
[2024-04-16 09:51:57.194],60.9,33.2,40.37
[2024-04-16 09:52:07.271],60.1,33.2,40.07
[2024-04-16 09:52:17.348],59.8,33.2,39.96
[2024-04-16 09:52:27.426],59.8,33.2,39.96
[2024-04-16 09:52:37.503],59.7,33.2,39.92
[2024-04-16 09:52:47.579],59.6,33.2,39.88
[2024-04-16 09:52:57.656],59.8,33.2,39.96
[2024-04-16 09:53:07.733],59.9,33.2,39.99
[2024-04-16 09:53:17.810],59.9,33.2,39.99
[2024-04-16 09:53:27.887],59.8,33.2,39.96
[2024-04-16 09:53:37.965],59.7,33.2,39.92
[2024-04-16 09:53:48.057],59.6,33.2,39.88
[2024-04-16 09:53:58.133],59.7,33.2,39.92
[2024-04-16 09:54:08.210],59.6,33.1,39.63
[2024-04-16 09:54:18.287],59.6,33.2,39.88
[2024-04-16 09:54:28.368],59.6,33.1,39.63
[2024-04-16 09:54:38.441],59.5,33.1,39.59
[2024-04-16 09:54:48.518],59.4,33.1,39.56
[2024-04-16 09:54:58.596],59.6,33.1,39.63
